hash,path,group_size
911f45d76519269e,data\train\surprise\25353.jpg,4
911f45d76519269e,data\train\surprise\3569.jpg,4
9bbe4ad04d2b29d2,data\train\angry\22213.jpg,4
9bbe4ad04d2b29d2,data\train\angry\23445.jpg,4
9bbe4ad04d2b29d2,data\train\angry\25783.jpg,4
9bbe4ad04d2b29d2,data\train\angry\850.jpg,4
a95a4d11cf6d6532,data\train\angry\1158.jpg,4
a95a4d11cf6d6532,data\train\angry\18859.jpg,4
a95a4d11cf6d6532,data\train\angry\23227.jpg,4
a95a4d11cf6d6532,data\train\angry\34116.jpg,4
a95d5603b229bc9d,data\train\angry\14096.jpg,4
a95d5603b229bc9d,data\train\angry\18384.jpg,4
a95d5603b229bc9d,data\train\angry\20237.jpg,4
a95d5603b229bc9d,data\train\angry\22954.jpg,4
aed96683e62d5864,data\train\surprise\19786.jpg,4
aed96683e62d5864,data\train\surprise\30518.jpg,4
aed96683e62d5864,data\train\surprise\34647.jpg,4
aed96683e62d5864,data\train\surprise\9996.jpg,4
b59ff2d3906c6920,data\train\angry\10063.jpg,4
b59ff2d3906c6920,data\train\angry\21310.jpg,4
b59ff2d3906c6920,data\train\angry\25288.jpg,4
b59ff2d3906c6920,data\train\angry\29788.jpg,4
b85df392cc285cd2,data\train\angry\24826.jpg,4
b85df392cc285cd2,data\train\angry\25788.jpg,4
b85df392cc285cd2,data\train\angry\31595.jpg,4
b85df392cc285cd2,data\train\angry\5545.jpg,4
ba9f2a861d786ac8,data\train\surprise\16627.jpg,4
ba9f2a861d786ac8,data\train\surprise\17431.jpg,4
ba9f2a861d786ac8,data\train\surprise\4344.jpg,4
ba9f2a861d786ac8,data\train\surprise\8869.jpg,4
bdd702fa8b68289a,data\train\angry\1731.jpg,4
bdd702fa8b68289a,data\train\angry\21370.jpg,4
bdd702fa8b68289a,data\train\angry\33682.jpg,4
bdd702fa8b68289a,data\train\angry\35607.jpg,4
c0497fcf2c3c36c4,data\train\surprise\18639.jpg,4
c0497fcf2c3c36c4,data\train\surprise\20985.jpg,4
c0497fcf2c3c36c4,data\train\surprise\21558.jpg,4
c0497fcf2c3c36c4,data\train\surprise\23527.jpg,4
c04d03a4bf767c72,data\train\surprise\1528.jpg,4
c04d03a4bf767c72,data\train\surprise\16451.jpg,4
c04d03a4bf767c72,data\train\surprise\4150.jpg,4
c04d03a4bf767c72,data\train\surprise\8055.jpg,4
c0da0b86ae6ae99d,data\train\angry\28371.jpg,4
c0da0b86ae6ae99d,data\train\angry\2891.jpg,4
c0da0b86ae6ae99d,data\train\angry\34405.jpg,4
c0da0b86ae6ae99d,data\train\angry\9317.jpg,4
c2cc6bfb8b31ec02,data\train\surprise\17385.jpg,4
c2cc6bfb8b31ec02,data\train\surprise\20310.jpg,4
c2cc6bfb8b31ec02,data\train\surprise\4462.jpg,4
c2cc6bfb8b31ec02,data\test\surprise\26101.jpg,4
c48903f7dd207f85,data\train\disgust\15027.jpg,4
c48903f7dd207f85,data\train\disgust\25657.jpg,4
c48903f7dd207f85,data\train\disgust\5667.jpg,4
c48903f7dd207f85,data\train\fear\24456.jpg,4
d40823c7772c3ba7,data\train\surprise\29600.jpg,4
d40823c7772c3ba7,data\train\surprise\30142.jpg,4
d40823c7772c3ba7,data\train\surprise\7485.jpg,4
d40823c7772c3ba7,data\train\surprise\7860.jpg,4
d40b6ff6c5482e45,data\train\surprise\17404.jpg,4
d40b6ff6c5482e45,data\train\surprise\1836.jpg,4
d40b6ff6c5482e45,data\train\surprise\21507.jpg,4
d40b6ff6c5482e45,data\train\surprise\3933.jpg,4
d4dc73c274190bdc,data\train\surprise\10282.jpg,4
d4dc73c274190bdc,data\train\surprise\27659.jpg,4
d4dc73c274190bdc,data\train\surprise\32611.jpg,4
d4dc73c274190bdc,data\train\surprise\4330.jpg,4
d5552d6ad4e99245,data\train\surprise\14052.jpg,4
d5552d6ad4e99245,data\train\surprise\18802.jpg,4
d5552d6ad4e99245,data\train\surprise\27965.jpg,4
d5552d6ad4e99245,data\train\surprise\35498.jpg,4
d5bd0f93cf442930,data\train\surprise\1369.jpg,4
d5bd0f93cf442930,data\train\surprise\17825.jpg,4
d5bd0f93cf442930,data\train\surprise\20015.jpg,4
d5bd0f93cf442930,data\train\surprise\2596.jpg,4
d9496e262f3c30b6,data\train\fear\30232.jpg,4
d9496e262f3c30b6,data\train\fear\5223.jpg,4
d9496e262f3c30b6,data\train\surprise\27908.jpg,4
d9496e262f3c30b6,data\test\surprise\5706.jpg,4
df6ee01a07362731,data\train\fear\28654.jpg,4
df6ee01a07362731,data\train\surprise\21392.jpg,4
df6ee01a07362731,data\train\surprise\22310.jpg,4
df6ee01a07362731,data\train\surprise\2908.jpg,4
ef1b7aa2b12481d6,data\train\surprise\10873.jpg,4
ef1b7aa2b12481d6,data\train\surprise\33755.jpg,4
ef1b7aa2b12481d6,data\train\surprise\6588.jpg,4
ef1b7aa2b12481d6,data\train\surprise\8574.jpg,4
f01560f6993d2a57,data\train\sad\16631.jpg,4
f01560f6993d2a57,data\train\sad\26975.jpg,4
f01560f6993d2a57,data\train\sad\29565.jpg,4
f01560f6993d2a57,data\train\sad\5052.jpg,4
81097da5fd754847,data\train\surprise\11519.jpg,3
81097da5fd754847,data\train\surprise\11576.jpg,3
81097da5fd754847,data\train\surprise\34606.jpg,3
810f14335c7adfb1,data\train\disgust\12058.jpg,3
810f14335c7adfb1,data\train\disgust\18221.jpg,3
810f14335c7adfb1,data\train\disgust\31368.jpg,3
81107e9b983d796d,data\train\angry\20885.jpg,3
81107e9b983d796d,data\train\angry\824.jpg,3
81107e9b983d796d,data\train\fear\34615.jpg,3
8117fe826d7c388b,data\train\angry\10666.jpg,3
8117fe826d7c388b,data\train\angry\20259.jpg,3
8117fe826d7c388b,data\train\angry\33064.jpg,3
811c4f7a4e64787d,data\train\sad\25065.jpg,3
811c4f7a4e64787d,data\train\sad\25965.jpg,3
811c4f7a4e64787d,data\train\sad\32091.jpg,3
814a6723b7391af3,data\train\surprise\23843.jpg,3
814a6723b7391af3,data\train\surprise\27211.jpg,3
814a6723b7391af3,data\train\surprise\28504.jpg,3
81866fc66c796c78,data\train\surprise\17004.jpg,3
81866fc66c796c78,data\train\surprise\28905.jpg,3
81866fc66c796c78,data\train\surprise\7699.jpg,3
82313f5799249dc7,data\train\surprise\13131.jpg,3
82313f5799249dc7,data\train\surprise\21780.jpg,3
82313f5799249dc7,data\train\surprise\26874.jpg,3
856c7ee2d12259f1,data\train\surprise\22648.jpg,3
856c7ee2d12259f1,data\train\surprise\4407.jpg,3
856c7ee2d12259f1,data\train\surprise\6847.jpg,3
8581d19fd9607c1f,data\train\disgust\20748.jpg,3
8581d19fd9607c1f,data\train\disgust\33004.jpg,3
8581d19fd9607c1f,data\train\disgust\4882.jpg,3
85843ec7b84d74ab,data\train\fear\18883.jpg,3
85843ec7b84d74ab,data\train\fear\19828.jpg,3
85843ec7b84d74ab,data\train\fear\9187.jpg,3
859b0efaf9241966,data\train\surprise\12605.jpg,3
859b0efaf9241966,data\train\surprise\7476.jpg,3
859b0efaf9241966,data\train\surprise\9036.jpg,3
85c85fc7b82e2d4a,data\train\disgust\17292.jpg,3
85c85fc7b82e2d4a,data\train\disgust\18352.jpg,3
85c85fc7b82e2d4a,data\train\disgust\34687.jpg,3
85de07f4fe2b0c22,data\train\surprise\16418.jpg,3
85de07f4fe2b0c22,data\train\surprise\4509.jpg,3
85de07f4fe2b0c22,data\train\surprise\9626.jpg,3
85ec4fc6e87f0922,data\train\surprise\279.jpg,3
85ec4fc6e87f0922,data\train\surprise\31348.jpg,3
85ec4fc6e87f0922,data\train\surprise\33042.jpg,3
87885f83ca392ed6,data\train\neutral\12087.jpg,3
87885f83ca392ed6,data\train\neutral\16118.jpg,3
87885f83ca392ed6,data\train\neutral\32435.jpg,3
878b9ea7183d68e1,data\train\angry\120.jpg,3
878b9ea7183d68e1,data\train\angry\17860.jpg,3
878b9ea7183d68e1,data\train\angry\33328.jpg,3
8a025abb1b383d7b,data\train\surprise\1289.jpg,3
8a025abb1b383d7b,data\train\surprise\1824.jpg,3
8a025abb1b383d7b,data\train\surprise\332.jpg,3
8acaaecba56a3583,data\train\fear\20249.jpg,3
8acaaecba56a3583,data\train\fear\22200.jpg,3
8acaaecba56a3583,data\train\fear\5929.jpg,3
8e887aa73a2578a7,data\train\fear\12691.jpg,3
8e887aa73a2578a7,data\train\fear\2320.jpg,3
8e887aa73a2578a7,data\train\fear\26537.jpg,3
8ed513d7107e2d62,data\train\fear\22076.jpg,3
8ed513d7107e2d62,data\train\fear\30029.jpg,3
8ed513d7107e2d62,data\train\fear\9608.jpg,3
8f95528d55d83633,data\train\fear\1608.jpg,3
8f95528d55d83633,data\train\fear\28624.jpg,3
8f95528d55d83633,data\train\sad\28295.jpg,3
8f993693b438783c,data\train\surprise\18891.jpg,3
8f993693b438783c,data\train\surprise\22007.jpg,3
8f993693b438783c,data\train\surprise\30681.jpg,3
8fc76892dd2c7096,data\train\neutral\14019.jpg,3
8fc76892dd2c7096,data\train\neutral\4122.jpg,3
8fc76892dd2c7096,data\train\neutral\8894.jpg,3
904d72d07b2d4ff0,data\train\fear\26520.jpg,3
904d72d07b2d4ff0,data\train\fear\28394.jpg,3
904d72d07b2d4ff0,data\train\surprise\19368.jpg,3
911d0537343f3e39,data\train\angry\17785.jpg,3
911d0537343f3e39,data\train\angry\22782.jpg,3
911d0537343f3e39,data\train\angry\8749.jpg,3
916a6ea5ed256835,data\train\neutral\17409.jpg,3
916a6ea5ed256835,data\train\neutral\21479.jpg,3
916a6ea5ed256835,data\train\neutral\7515.jpg,3
918e0ea2e77d0d33,data\train\surprise\11027.jpg,3
918e0ea2e77d0d33,data\train\surprise\8640.jpg,3
918e0ea2e77d0d33,data\test\surprise\22666.jpg,3
91a48a96cf6d3d92,data\train\sad\15371.jpg,3
91a48a96cf6d3d92,data\train\sad\26369.jpg,3
91a48a96cf6d3d92,data\train\sad\34154.jpg,3
91d815d745797417,data\train\sad\11611.jpg,3
91d815d745797417,data\train\sad\24287.jpg,3
91d815d745797417,data\train\sad\27951.jpg,3
91dc42e2833d6bc7,data\train\surprise\18111.jpg,3
91dc42e2833d6bc7,data\train\surprise\23653.jpg,3
91dc42e2833d6bc7,data\train\surprise\26640.jpg,3
92dc2b86ed382973,data\train\surprise\18845.jpg,3
92dc2b86ed382973,data\train\surprise\27034.jpg,3
92dc2b86ed382973,data\train\surprise\35087.jpg,3
931c3f52b7686f04,data\train\surprise\17322.jpg,3
931c3f52b7686f04,data\train\surprise\199.jpg,3
931c3f52b7686f04,data\train\surprise\6384.jpg,3
935c1a875e2d6ad1,data\train\fear\13835.jpg,3
935c1a875e2d6ad1,data\train\fear\24338.jpg,3
935c1a875e2d6ad1,data\train\fear\9049.jpg,3
938479c2cd2d6967,data\train\surprise\19980.jpg,3
938479c2cd2d6967,data\train\surprise\34701.jpg,3
938479c2cd2d6967,data\train\surprise\9031.jpg,3
93c95e854a6d5927,data\train\surprise\35130.jpg,3
93c95e854a6d5927,data\train\surprise\35164.jpg,3
93c95e854a6d5927,data\train\surprise\3971.jpg,3
941c1f96f9727123,data\train\surprise\26351.jpg,3
941c1f96f9727123,data\train\surprise\33385.jpg,3
941c1f96f9727123,data\train\surprise\7483.jpg,3
954c6a22ab4c3dd7,data\train\happy\11091.jpg,3
954c6a22ab4c3dd7,data\train\happy\17595.jpg,3
954c6a22ab4c3dd7,data\train\happy\19943.jpg,3
95560a5f6a297e23,data\train\surprise\24478.jpg,3
95560a5f6a297e23,data\train\surprise\6773.jpg,3
95560a5f6a297e23,data\train\surprise\9924.jpg,3
95787ae15a2978e1,data\train\angry\12984.jpg,3
95787ae15a2978e1,data\train\angry\18096.jpg,3
95787ae15a2978e1,data\train\angry\25269.jpg,3
958c52e18b753dd2,data\train\angry\32765.jpg,3
958c52e18b753dd2,data\train\sad\14769.jpg,3
958c52e18b753dd2,data\train\sad\27403.jpg,3
958d5ae58a653d83,data\train\fear\26420.jpg,3
958d5ae58a653d83,data\train\sad\19393.jpg,3
958d5ae58a653d83,data\train\sad\35696.jpg,3
959d5e935468789a,data\train\surprise\11047.jpg,3
959d5e935468789a,data\train\surprise\16162.jpg,3
959d5e935468789a,data\train\surprise\24483.jpg,3
95dd5692ce796884,data\train\angry\2108.jpg,3
95dd5692ce796884,data\train\angry\23641.jpg,3
95dd5692ce796884,data\train\angry\32858.jpg,3
95fd5ef218387860,data\train\angry\14426.jpg,3
95fd5ef218387860,data\train\angry\20436.jpg,3
95fd5ef218387860,data\test\angry\6471.jpg,3
96016aaf2a2d7f25,data\train\surprise\6508.jpg,3
96016aaf2a2d7f25,data\train\surprise\7736.jpg,3
96016aaf2a2d7f25,data\train\surprise\8631.jpg,3
96e17a43387e6d41,data\train\surprise\21727.jpg,3
96e17a43387e6d41,data\train\surprise\24835.jpg,3
96e17a43387e6d41,data\train\surprise\25313.jpg,3
97056ada652c7d2a,data\train\surprise\24553.jpg,3
97056ada652c7d2a,data\train\surprise\33734.jpg,3
97056ada652c7d2a,data\train\surprise\9650.jpg,3
973b7fa16a212872,data\train\surprise\19830.jpg,3
973b7fa16a212872,data\train\surprise\27123.jpg,3
973b7fa16a212872,data\train\surprise\7347.jpg,3
97d81e83a76d1934,data\train\happy\34052.jpg,3
97d81e83a76d1934,data\train\surprise\14918.jpg,3
97d81e83a76d1934,data\train\surprise\4436.jpg,3
99694ea5aab4a732,data\train\sad\26762.jpg,3
99694ea5aab4a732,data\train\sad\34373.jpg,3
99694ea5aab4a732,data\test\sad\8953.jpg,3
999f7ed068789832,data\train\fear\23625.jpg,3
999f7ed068789832,data\train\fear\30813.jpg,3
999f7ed068789832,data\train\surprise\26705.jpg,3
9a005eea187c7de9,data\train\neutral\20874.jpg,3
9a005eea187c7de9,data\train\neutral\22352.jpg,3
9a005eea187c7de9,data\train\neutral\26887.jpg,3
9f002bd23d3b6cca,data\train\fear\11599.jpg,3
9f002bd23d3b6cca,data\train\fear\6511.jpg,3
9f002bd23d3b6cca,data\train\sad\7642.jpg,3
9f5d4e8a826e1966,data\train\surprise\1467.jpg,3
9f5d4e8a826e1966,data\train\surprise\26824.jpg,3
9f5d4e8a826e1966,data\test\surprise\20162.jpg,3
9f786a636e21688d,data\train\fear\15302.jpg,3
9f786a636e21688d,data\train\surprise\12102.jpg,3
9f786a636e21688d,data\train\surprise\1665.jpg,3
9fd01a83b82875db,data\train\disgust\27765.jpg,3
9fd01a83b82875db,data\train\disgust\30639.jpg,3
9fd01a83b82875db,data\test\disgust\33284.jpg,3
a9098287693f3d37,data\train\surprise\11459.jpg,3
a9098287693f3d37,data\train\surprise\24446.jpg,3
a9098287693f3d37,data\test\surprise\21299.jpg,3
a98817b7c7287d86,data\train\surprise\175.jpg,3
a98817b7c7287d86,data\train\surprise\27081.jpg,3
a98817b7c7287d86,data\test\surprise\24046.jpg,3
affa4d96783860c8,data\train\surprise\14552.jpg,3
affa4d96783860c8,data\train\surprise\24398.jpg,3
affa4d96783860c8,data\train\surprise\5294.jpg,3
b45f760abb3c0964,data\train\surprise\20774.jpg,3
b45f760abb3c0964,data\train\surprise\22580.jpg,3
b45f760abb3c0964,data\train\surprise\30008.jpg,3
b897e093c92de23c,data\train\fear\21993.jpg,3
b897e093c92de23c,data\train\sad\17210.jpg,3
b897e093c92de23c,data\train\sad\34390.jpg,3
bd8e678255aa71a2,data\train\fear\19097.jpg,3
bd8e678255aa71a2,data\train\fear\35826.jpg,3
bd8e678255aa71a2,data\train\fear\7990.jpg,3
be4fc2a2817d79c0,data\train\surprise\15770.jpg,3
be4fc2a2817d79c0,data\train\surprise\31671.jpg,3
be4fc2a2817d79c0,data\train\surprise\32716.jpg,3
bf06e856f22baa14,data\train\neutral\13347.jpg,3
bf06e856f22baa14,data\train\neutral\21871.jpg,3
bf06e856f22baa14,data\train\neutral\9195.jpg,3
bf0f72f83e3008e4,data\train\surprise\17348.jpg,3
bf0f72f83e3008e4,data\train\surprise\27939.jpg,3
bf0f72f83e3008e4,data\train\surprise\8005.jpg,3
bf5502d7696a7182,data\train\angry\28221.jpg,3
bf5502d7696a7182,data\train\angry\30446.jpg,3
bf5502d7696a7182,data\train\angry\5392.jpg,3
c084fa05fe346b67,data\train\neutral\17073.jpg,3
c084fa05fe346b67,data\train\neutral\30547.jpg,3
c084fa05fe346b67,data\train\neutral\912.jpg,3
c09d8ac77a6839d6,data\train\disgust\26544.jpg,3
c09d8ac77a6839d6,data\train\disgust\33387.jpg,3
c09d8ac77a6839d6,data\train\disgust\5335.jpg,3
c0d08bd6bb742cd3,data\train\disgust\16953.jpg,3
c0d08bd6bb742cd3,data\train\disgust\23898.jpg,3
c0d08bd6bb742cd3,data\train\disgust\29732.jpg,3
c2016ad7ba3f6d41,data\train\disgust\12807.jpg,3
c2016ad7ba3f6d41,data\train\disgust\18989.jpg,3
c2016ad7ba3f6d41,data\train\disgust\30773.jpg,3
c22d6fb6cc303cb2,data\train\fear\11338.jpg,3
c22d6fb6cc303cb2,data\train\fear\17646.jpg,3
c22d6fb6cc303cb2,data\train\fear\35683.jpg,3
c4d07bd3941fa568,data\train\angry\13735.jpg,3
c4d07bd3941fa568,data\train\angry\27804.jpg,3
c4d07bd3941fa568,data\train\angry\30548.jpg,3
c5e85ac3087cdcb3,data\train\surprise\13033.jpg,3
c5e85ac3087cdcb3,data\train\surprise\23254.jpg,3
c5e85ac3087cdcb3,data\train\surprise\7256.jpg,3
c76a1d05fe3e3908,data\train\angry\17020.jpg,3
c76a1d05fe3e3908,data\train\angry\26964.jpg,3
c76a1d05fe3e3908,data\train\angry\9196.jpg,3
c77a1fc02e295867,data\train\disgust\25329.jpg,3
c77a1fc02e295867,data\train\disgust\27771.jpg,3
c77a1fc02e295867,data\train\disgust\9654.jpg,3
c852af42bc38b91f,data\train\surprise\10849.jpg,3
c852af42bc38b91f,data\train\surprise\33886.jpg,3
c852af42bc38b91f,data\train\surprise\35388.jpg,3
c957a9d6d82d7061,data\train\fear\18007.jpg,3
c957a9d6d82d7061,data\train\fear\28233.jpg,3
c957a9d6d82d7061,data\train\fear\29178.jpg,3
ca0a4aa76f2d7c29,data\train\happy\35132.jpg,3
ca0a4aa76f2d7c29,data\train\surprise\28837.jpg,3
ca0a4aa76f2d7c29,data\train\surprise\4732.jpg,3
ca469387c6397c9a,data\train\fear\20622.jpg,3
ca469387c6397c9a,data\train\fear\21655.jpg,3
ca469387c6397c9a,data\train\fear\6846.jpg,3
cae1ea87b82728e6,data\train\surprise\13307.jpg,3
cae1ea87b82728e6,data\train\surprise\18004.jpg,3
cae1ea87b82728e6,data\test\surprise\3157.jpg,3
cb554fa64d287896,data\train\happy\4726.jpg,3
cb554fa64d287896,data\train\happy\7633.jpg,3
cb554fa64d287896,data\train\happy\8070.jpg,3
ccf85785a01e6d87,data\train\angry\5655.jpg,3
ccf85785a01e6d87,data\train\surprise\15937.jpg,3
ccf85785a01e6d87,data\train\surprise\25916.jpg,3
cf817bc7780e206d,data\train\surprise\13023.jpg,3
cf817bc7780e206d,data\train\surprise\14177.jpg,3
cf817bc7780e206d,data\train\surprise\23796.jpg,3
d01d1ab66f6079b1,data\train\fear\34200.jpg,3
d01d1ab66f6079b1,data\train\fear\5235.jpg,3
d01d1ab66f6079b1,data\train\sad\20466.jpg,3
d12d02b59b7c7ba0,data\train\fear\16217.jpg,3
d12d02b59b7c7ba0,data\train\fear\2683.jpg,3
d12d02b59b7c7ba0,data\train\fear\8419.jpg,3
d2b80ad6097e29bb,data\train\fear\12544.jpg,3
d2b80ad6097e29bb,data\train\fear\14715.jpg,3
d2b80ad6097e29bb,data\train\fear\5752.jpg,3
d485e382dd2966cd,data\train\neutral\13931.jpg,3
d485e382dd2966cd,data\train\neutral\18594.jpg,3
d485e382dd2966cd,data\train\neutral\2601.jpg,3
d50f37ca687d1283,data\train\fear\20585.jpg,3
d50f37ca687d1283,data\train\surprise\18190.jpg,3
d50f37ca687d1283,data\train\surprise\27989.jpg,3
d5c80bea6a69298f,data\train\neutral\21307.jpg,3
d5c80bea6a69298f,data\train\neutral\29666.jpg,3
d5c80bea6a69298f,data\train\neutral\33503.jpg,3
d7f00fa28c3238db,data\train\angry\22475.jpg,3
